"l_english:",""
" ################################################",""
" # Standard loc keys"," використовується в усіх англійських текстах #"
" ################################################",""
"",""
" #ComplimentAdjective",""
" compliment_fair0: ""fair""",""
" compliment_handsome0: ""handsome""",""
" compliment_impressive0: ""impressive""",""
" compliment_benign0: ""benign""",""
" compliment_implacable0: ""implacable""",""
" compliment_modest0: ""modest""",""
" compliment_charming0: ""charming""",""
" compliment_thoughtful0: ""thoughtful""",""
" compliment_benevolent0: ""benevolent""",""
" compliment_perceptive0: ""perceptive""",""
" compliment_sensible0: ""sensible""",""
" compliment_serene0: ""serene""",""
" compliment_fallback0: ""amicable""",""
"",""
" #ComplimentAdjectiveArticle",""
" compliment_fair_article0: ""a fair""",""
" compliment_handsome_article0: ""a handsome""",""
" compliment_impressive_article0: ""an impressive""",""
" compliment_benevolent_article0: ""a benevolent""",""
" compliment_implacable_article0: ""an implacable""",""
" compliment_modest_article0: ""a modest""",""
" compliment_charming_article0: ""a charming""",""
" compliment_benign_article0: ""a benign""",""
" compliment_thoughtful_article0: ""a thoughtful""",""
" compliment_perceptive_article0: ""a perceptive""",""
" compliment_sensible_article0: ""a sensible""",""
" compliment_serene_article0: ""a serene""",""
" compliment_fallback_article0: ""an amicable""",""
"",""
" #ComplimentSentence",""
" compliment_sentence_comfortable0: ""I am never as comfortable as when I am in your company""",""
" ",""
" #FormalComplimentAdjective",""
" formal_compliment_great0: ""great""",""
" formal_compliment_venerable0: ""venerable""",""
" formal_compliment_pious0: ""pious""",""
" formal_compliment_magnanimous0: ""magnanimous""",""
" formal_compliment_noble_lady0: ""noble lady""",""
" formal_compliment_noble0: ""noble""",""
" formal_compliment_gallant0: ""gallant""",""
" formal_compliment_chivalrous0: ""chivalrous""",""
" formal_compliment_elegant0: ""elegant""",""
" formal_compliment_stately0: ""stately""",""
" formal_compliment_gracious0: ""gracious""",""
" formal_compliment_affable0: ""affable""",""
" formal_compliment_amiable0: ""amiable""",""
" formal_compliment_dignified0: ""dignified""",""
"",""
"",""
" #Romantic Compliments ",""
" compliment_brave0: ""brave""",""
