"l_english:",""
" #Created for the perfume creation event chain"," але має легко використовуватися в інших місцях"
"",""
"# Simple",""
" color_simple_blue0: ""blue""",""
" color_simple_red0: ""red""",""
" color_simple_yellow0: ""yellow""",""
" color_simple_green0: ""green""",""
" color_simple_orange0: ""orange""",""
" color_simple_cyan0: ""cyan""",""
" color_simple_purple0: ""purple""",""
" color_simple_pink0: ""pink""",""
" color_simple_grey0: ""grey""",""
" color_simple_black0: ""black""",""
"",""
"# Complex",""
" color_complex_gold0: ""sparkling"," золотий шафран"""
" color_complex_silver0: ""light silvery-grey""",""
" color_complex_blue0: ""dark"," ""Опівнічна блакить""."
" color_complex_red0: ""deep"," ""Вермиліон рубіново-червоний"""
" color_complex_purple0: ""magnificent Tyrian purple""",""
" color_complex_pink0: ""rich cherry""",""
" color_complex_green0: ""glorious emerald""",""
" color_complex_bronze0: ""deep bronze"," як захід сонця"""
" color_complex_black0: ""darkest black obsidian""",""
