"l_english:"	""
" #A practice duel gone terribly wrong, Peter Vilberg "	""
" martial_chivalry.0001.t0: ""An Unworthy Challenge"""	""
" martial_chivalry.0001.opening0: ""At first I thought the simple footman a fool for stepping onto the training field."""	""
" martial_chivalry.0001.hard_fight0: ""However, the battle proved more hard fought than I expected, and it gradually became clear that [duel_opponent.GetSheHe] would be unable to stop [duel_opponent.GetHerHis] wild and vicious strikes from hurting me!"""	""
" martial_chivalry.0001.easy_fight0: ""\n\nAlthough [duel_opponent.GetTitledFirstName] seemed no threat at first, it quickly became clear that [duel_opponent.GetSheHe] would be unable to stop [duel_opponent.GetHerHis] wild and vicious strikes from hurting me!"""	""
" martial_chivalry.0001.conclusion0: ""Disarming [duel_opponent.GetHerHim] suddenly became a matter of life and death.\n\nI tried not to show my relief when [duel_opponent.GetHerHis] sword finally hit the ground."""	""
" martial_chivalry.0001.a0: ""I could use more people like you!"""	""
" martial_chivalry.0001.a.tt0: ""[duel_opponent.GetTitledFirstName] will hopefully come to serve you well."""	""
" martial_chivalry.0001.b0: ""This peasant — and my soldiers — will get a lecture on honor."""	""
" martial_chivalry.0001.b.tt0: ""Your soldiers would also benefit from an explanation of the rights and wrongs of personal combat."""	""
" martial_chivalry.0001.c0: ""I strike [duel_opponent.GetHerHim] down where [duel_opponent.GetSheHe] stands."""	""
" martial_chivalry.0001.c.tt0: ""Decapitation in a single strike is a sure way of making an impression on the footmen — and the nobles — present."""	""
""	""
""	""
" #Horse Riding Accident, by Petter Vilberg"	""
" martial_chivalry.0002.t0: ""A Sudden Shock"""	""
" martial_chivalry.0002.desc0: ""I have ridden, taken aim, and struck so many times I thought nothing could upset my rhythm. As I take yet another gallop down the practice range, a commotion I cannot fully see makes my horse rear up.\n\nFor an instant, momentum keeps me pinned to the back of the horse as it starts shaking. Then, as if time is flowing slow, I can feel myself becoming dislodged."""	""
" martial_chivalry.0002.a0: ""Calm down, [ROOT.Char.Custom('RandomGirlBoy')]! Calm down!"""	""
" martial_chivalry.0002.a_success0: ""You manage to stay on"""	""
" martial_chivalry.0002.a_failure0: ""You are thrown off"""	""
" martial_chivalry.0002.increase_horse_mastery0: ""My mastery of horse riding increases, and with it my expertise in the [martial_lifestyle|E]."""	""
" martial_chivalry.0002.b0: ""I dive for stable ground — better safe than sorry!"""	""
""	""
" martial_chivalry.0003.t0: ""In Charge"""	""
" martial_chivalry.0003.desc0: ""I can feel myself being thrown left and right, but no motion can make me loosen my grasp on the reins and the saddle.\n\nMy commands eventually soothe the horse, and the animal is soon back to stomping eagerly on the hard-packed ground, as stable as ever."""	""
" martial_chivalry.0003.a0: ""Such a forceful beast."""	""
" martial_chivalry.0003.b0: ""I will take personal care to train this one."""	""
" martial_chivalry.0003.a.tt0: ""If nothing else, the incident has taught you a little more about controlling horses."""	""
""	""
" martial_chivalry.0004.t0: ""Unglamorous Display"""	""
" martial_chivalry.0004.desc0: ""I am thrown to the hard-packed ground, the pain of the impact rushing through every bone in my body.\n\nThe stable boy comes running just a little too late."""	""
" martial_chivalry.0004.a0: ""Damn animal!"""	""
""	""
" martial_chivalry.0005.t0: """"What a Bad Day for Horse Riding"""""	""
" martial_chivalry.0005.desc0: ""The stable boy tries help me to my feet, but I shout at him to stop.\n\nHitting the ground sent bolts of pain through my entire body, and my old wound is aching worse than when it was fresh!"""	""
" martial_chivalry.0005.a0: ""I should not have left bed today."""	""
""	""
" martial_chivalry.0006.t0: ""What Happened?"""	""
" martial_chivalry.0006.desc0: ""I do not remember how I landed on the ground, I only know of stinging pain in my entire body. Unclear faces gather around, looking down at me.\n\nEverything goes dark."""	""
" martial_chivalry.0006.a0: ""How did I end up in bed? Where is my horse?"""	""
""	""
" martial_chivalry.0007.t0: ""My Kingdom for a Horse"""	""
" martial_chivalry.0007.desc0: ""I thought that riding would make me feel better. That a little exertion would help me heal. As I fall through the air, the pain of my wounds leave me for a brief moment of weightlessness. It is the best I have felt for weeks.\n\nAs I smash to the ground, I no longer need to worry about the pain, or any other earthly concerns."""	""
" martial_chivalry.0007.a0: ""What awaits beyond?"""	""
""	""
" #Train with your signature weapon, by Linnéa Thimrén"	""
" martial_chivalry.0010.t0: ""The Way of the [ROOT.Char.Custom('signature_weapon')|U]"""	""
