"l_english":""
" game_concept_struct0":"#TOOLTIP:GAME_CONCEPT,$DESC_KEY$ $KEY_LOC$#!"
" CHARACTER_TAG_TOOLTIP0":"#ONCLICK:CHARACTER,$ID$ #TOOLTIP:CHARACTER,$ID$ #L $NAME$#!#!#!"
" CHARACTER_CONTEXT_TOOLTIP0":"#ONCLICK:CHARACTER,$ID$ #TOOLTIP:CHAR_CONTEXT_TOOLTIP,$ID$,$KEY$ #L $TEXT$#!#!#!"
" game_culture_struct0":"#TOOLTIP:CULTURE,$DESC_KEY$ $KEY_LOC|L$#!"
" game_faith_struct0":"#TOOLTIP:FAITH,$DESC_KEY$ $KEY_LOC|L$#!"
" game_religion_struct0":"#TOOLTIP:RELIGION,$DESC_KEY$ $KEY_LOC|L$#!"
" game_religion_family_struct0":"#TOOLTIP:RELIGION_FAMILY,$DESC_KEY$ $KEY_LOC|L$#!"
" game_trait_struct0":"#TOOLTIP:GAME_TRAIT,$DESC_KEY$,$CHARACTER_ID$ $KEY_LOC|L$#!"
" game_men_at_arms_type_struct0":"#TOOLTIP:MEN_AT_ARMS_TYPE,$DESC_KEY$ $KEY_LOC|L$#!"
" game_specific_men_at_arms_type_struct0":"#TOOLTIP:SPECIFIC_MEN_AT_ARMS_TYPE,$DESC_KEY$ $KEY_LOC|L$#!"
" game_dynasty_struct0":"#TOOLTIP:DYNASTY,$DESC_KEY$ $KEY_LOC|L$#!"
" game_dynasty_house_struct0":"#TOOLTIP:DYNASTY,$DESC_KEY$ $KEY_LOC|L$#!"
" game_building_struct0":"#TOOLTIP:BUILDING,$DESC_KEY$ $KEY_LOC|L$#!"
" game_army_struct0":"#TOOLTIP:ARMY,$DESC_KEY$ $KEY_LOC|L$#!"
" game_faction_struct0":"#TOOLTIP:FACTION,$DESC_KEY$ $KEY_LOC|L$#!"
" game_landed_title_struct0":"#ONCLICK:TITLE,$DESC_KEY$ #TOOLTIP:LANDED_TITLE,$DESC_KEY$ $KEY_LOC|L$#!#!"
" game_government_type_struct0":"#TOOLTIP:GOVERNMENT_TYPE,$DESC_KEY$ $KEY_LOC|L$#!"
" game_scheme_struct0":"#TOOLTIP:SCHEME,$DESC_KEY$ $KEY_LOC|L$#!"
" game_static_modifier_struct_positive0":"#TOOLTIP:STATIC_MODIFIER,$DESC_KEY$ #P $KEY_LOC|L$#!#!"
" game_static_modifier_struct_negative0":"#TOOLTIP:STATIC_MODIFIER,$DESC_KEY$ #N $KEY_LOC|L$#!#!"
" game_static_modifier_struct0":"#TOOLTIP:STATIC_MODIFIER,$DESC_KEY$ #V $KEY_LOC|L$#!#!"
" game_law_struct0":"#TOOLTIP:LAW,$DESC_KEY$ $KEY_LOC|L$#!"
" game_terrain_struct0":"#TOOLTIP:TERRAIN,$DESC_KEY$ $KEY_LOC|L$#!"
" game_culture_innovation_struct0":"#TOOLTIP:CULTURE_INNOVATION,$CULTURE_ID$,$INNOVATION_INDEX$ $KEY_LOC|L$#!"
" game_culture_era_struct0":"#TOOLTIP:CULTURE_ERA,$CULTURE_ID$,$ERA_INDEX$ $KEY_LOC|L$#!"
" game_faith_doctrine_struct0":"#TOOLTIP:GAME_FAITH_DOCTRINE,$DESC_KEY$ $KEY_LOC|L$#!"
" game_lifestyle_struct0":"#TOOLTIP:LIFESTYLE,$DESC_KEY$ $KEY_LOC|L$#!"
" game_focus_struct0":"#TOOLTIP:FOCUS,$DESC_KEY$ $KEY_LOC|L$#!"
" game_perk_struct0":"#TOOLTIP:PERK,$DESC_KEY$ $KEY_LOC|L$#!"
" game_dynasty_perk_struct0":"#TOOLTIP:DYNASTY_PERK,$DESC_KEY$ $KEY_LOC|L$#!"
" game_obligation_level_struct0":"#TOOLTIP:OBLIGATION_LEVEL,$CONTRACT_TYPE$,$OBLIGATION_LEVEL_INDEX$ $KEY_LOC|L$#!"
" game_holding_struct0":"#TOOLTIP:HOLDING,$DESC_KEY$ $KEY_LOC|L$#!"
" game_secret_struct0":"#TOOLTIP:SECRET,$DESC_KEY$ $KEY_LOC|L$#!"
" game_secret_type_struct0":"#TOOLTIP:SECRET_TYPE,$DESC_KEY$ $KEY_LOC|L$#!"
" game_geographical_region_struct0":"#ONCLICK:GEOGRAPHICAL_REGION,$DESC_KEY$ #TOOLTIP:GEOGRAPHICAL_REGION,$DESC_KEY$ $KEY_LOC|L$#!#!"
" game_culture_pillar_struct0":"#TOOLTIP:CULTURE_PILLAR,$DESC_KEY$ $KEY_LOC|L$#!"
" game_culture_tradition_struct0":"#TOOLTIP:CULTURE_TRADITION,$DESC_KEY$ $KEY_LOC|L$#!"
" game_inspiration_struct0":"#TOOLTIP:INSPIRATION,$DESC_KEY$ $KEY_LOC|L$#!"
" game_court_type_struct0":"#TOOLTIP:COURT_TYPE,$DESC_KEY$ $KEY_LOC|L$#!"
" game_artifact_struct0":"#TOOLTIP:ARTIFACT,$DESC_KEY$ $KEY_LOC|L$#!"
" game_court_position_type_struct0":"#TOOLTIP:COURT_POSITION_TYPE,$DESC_KEY$ $KEY_LOC|L$#!"
" game_scheme_type_struct0":"#TOOLTIP:SCHEME_TYPE,$DESC_KEY$ $KEY_LOC|L$#!"
" game_court_amenities_setting_struct0":"#TOOLTIP:COURT_AMENITIES_SETTING,$DESC_KEY$ $KEY_LOC|L$#!"
" game_nickname_struct0":"#TOOLTIP:NICKNAME,$DESC_KEY$,$CHARACTER_ID$ $KEY_LOC|L$#!"
" game_struggle_struct0":"#TOOLTIP:STRUGGLE,$DESC_KEY$ $KEY_LOC|L$#!"
" game_struggle_phase_struct0":"#TOOLTIP:STRUGGLE_PHASE,$DESC_KEY$ $KEY_LOC|L$#!"
