"l_english":""
" mercenary_company_bitter_winter_band0":"Зимова банда"
" mercenary_company_knE_z_evi_of_the_road0":"Князі дороги"
" mercenary_company_forest_wolves0":"Лісові вовки"
" mercenary_company_allemannic_guard0":"Алеманська гвардія"
" mercenary_company_allemannic_guard_article0":"the "
" mercenary_company_almogavars_10":"Загін Альмогаварів з домену [TITLE.GetNameNoTierNoTooltip]"
" mercenary_company_almogavars_1_article0":"the "
" mercenary_company_almogavars_20":"Загін Альмогаварів з домену [TITLE.GetNameNoTierNoTooltip]"
" mercenary_company_almogavars_2_article0":"the "
" mercenary_company_almogavars_andalusian_10":"Загін Альмогаварів з домену [TITLE.GetNameNoTierNoTooltip]"
" mercenary_company_almogavars_andalusian_1_article0":"the "
" mercenary_company_altaic_riders_of_place0":"Загін вершників з домену [TITLE.GetNameNoTierNoTooltip]"
" mercenary_company_altaic_riders_of_place_article0":"the "
" mercenary_company_andalusian_treasurers_10":"Загін скарбників з домену [TITLE.GetNameNoTierNoTooltip]"
" mercenary_company_andalusian_treasurers_1_article0":"the "
" mercenary_company_apabhransa_band0":"Зашін Апабхранша"
" mercenary_company_apabhransa_band_article0":"the "
" mercenary_company_army_of_kylfingar0":"Армія кільфінгів"
" mercenary_company_army_of_kylfingar_article0":"the "
" mercenary_company_army_of_the_crossing0":"Армія Перехрестя"
" mercenary_company_army_of_the_crossing_article0":"the "
" mercenary_company_army_of_the_ore0":"Армія Ере"
" mercenary_company_army_of_the_ore_article0":"the "
" mercenary_company_army_of_the_senator0":"Армія сенатора"
" mercenary_company_army_of_the_senator_article0":"the "
" mercenary_company_army_under_the_sky0":"Піднебесне військо"
" mercenary_company_army_under_the_sky_article0":"the "
" mercenary_company_badami_companions0":"Загін лицарів Бадамі"
" mercenary_company_badami_companions_article0":"the "
" mercenary_company_baltic_band0":"Балтійський загін"
" mercenary_company_baltic_band_article0":"the "
" mercenary_company_band_of_firesmoke0":"Загін «Вогненний дим»"
" mercenary_company_band_of_firesmoke_article0":"the "
" mercenary_company_band_of_horned_welshmen0":"Загін «Ріг»"
" mercenary_company_band_of_horned_welshmen_article0":"the "
" mercenary_company_band_of_kerns0":"Загін ірландських селян"
" mercenary_company_band_of_kerns_article0":"the "
" mercenary_company_band_of_medes0":"Загін мідійцев"
" mercenary_company_band_of_medes_article0":"the "
" mercenary_company_band_of_sermaj0":"Сермайський загін"
" mercenary_company_band_of_sermaj_article0":"the "
" mercenary_company_band_of_the_arrow_rain0":"Загін «Злива стріл»"
" mercenary_company_band_of_the_arrow_rain_article0":"the "
" mercenary_company_band_of_the_bay0":"Загін Затоки"
" mercenary_company_band_of_the_bay_article0":"the "
" mercenary_company_band_of_the_black_monk0":"Загін Чорного монаха"
" mercenary_company_band_of_the_black_monk_article0":"the "
" mercenary_company_band_of_the_brigand_emperor0":"Загін Розбійницького імператора"
" mercenary_company_band_of_the_brigand_emperor_article0":"the "
" mercenary_company_band_of_the_egg0":"Загін Яйця"
" mercenary_company_band_of_the_egg_article0":"the "
" mercenary_company_band_of_the_fallen_knez0":"Загін Полеглого князя"
" mercenary_company_band_of_the_fallen_knez_article0":"the "
" mercenary_company_band_of_the_father0":"Загін Батька"
" mercenary_company_band_of_the_father_article0":"the "
" mercenary_company_band_of_the_fields0":"Загін з Полів"
" mercenary_company_band_of_the_fields_article0":"the "
" mercenary_company_band_of_the_nilgai0":"Загін «Нільгау»"
" mercenary_company_band_of_the_nilgai_article0":"the "
" mercenary_company_band_of_the_seas0":"Загін Морів"
" mercenary_company_band_of_the_seas_article0":"the "
" mercenary_company_band_of_tocharoi0":"Тохарський загін"
" mercenary_company_band_of_tocharoi_article0":"the "
" mercenary_company_baranis_company_of_place0":"Загін з домену [TITLE.GetNameNoTierNoTooltip]"
" mercenary_company_baranis_company_of_place_article0":"the "
" mercenary_company_bedouin_company_of_place0":"Загін з домену [TITLE.GetNameNoTierNoTooltip]"
" mercenary_company_bedouin_company_of_place_article0":"the "
" mercenary_company_bengal_host0":"Бенгальське військо"
" mercenary_company_bengal_host_article0":"the "
" mercenary_company_birchers_of_place0":"Загін бірхерів з домену [TITLE.GetNameNoTierNoTooltip]"
" mercenary_company_birchers_of_place_article0":"the "
" mercenary_company_black_band0":"Чорний загін"
" mercenary_company_black_band_article0":"the "
" mercenary_company_bodyguards_of_gwendolen0":"Загін охоронців Гвендоліни"
" mercenary_company_bodyguards_of_gwendolen_article0":"the "
" mercenary_company_border_reavers_band0":"Прикордонна банда"
" mercenary_company_border_reavers_band_article0":"the "
" mercenary_company_border_reivers0":"Прикордонні розбійники"
" mercenary_company_border_reivers_article0":"the "
" mercenary_company_brothers_of_bayan0":"Братство Байян"
" mercenary_company_brothers_of_bayan_article0":"the "
" mercenary_company_bull0":"Загін Бика"
" mercenary_company_bull_article0":"the "
" mercenary_company_butr_place_band0":"Загін з домену [TITLE.GetNameNoTierNoTooltip]"
" mercenary_company_butr_place_band_article0":"the "
" mercenary_company_chastisement_of_place0":"Загін екзекуторів з домену [TITLE.GetNameNoTierNoTooltip]"
" mercenary_company_chastisement_of_place_article0":"the "
" mercenary_company_compagnia_del_cappalletto0":"Загін Шапки"
" mercenary_company_compagnia_del_cappalletto_article0":"the "
" mercenary_company_compagnia_della_rosa0":"Загін Троянди"
" mercenary_company_compagnia_della_rosa_article0":"the "
" mercenary_company_compagnia_della_stella0":"Зоряний загін"
" mercenary_company_compagnia_della_stella_article0":"the "
" mercenary_company_compagnia_di_san_giorgio0":"Військо Св. Георгія"
" mercenary_company_compagnia_di_san_giorgio_article0":"the "
" mercenary_company_companions_of_the_woods0":"Загін Лісових лицарів"
" mercenary_company_companions_of_the_woods_article0":"the "
" mercenary_company_company_of_bretons0":"Бретонський загін"
" mercenary_company_company_of_bretons_article0":"the "
" mercenary_company_company_of_four_kings0":"Загін Чотирьох королів"
" mercenary_company_company_of_four_kings_article0":"the "
" mercenary_company_company_of_jarl_landless0":"Загін Безземельного ярла"
" mercenary_company_company_of_jarl_landless_article0":"the "
" mercenary_company_company_of_khantys0":"Хантийський загін"
" mercenary_company_company_of_kashmir0":"Кашмірський загін"
" mercenary_company_company_of_khantys_article0":"the "
" mercenary_company_company_of_kvens0":"Квенський загін"
" mercenary_company_company_of_kvens_article0":"the "
" mercenary_company_company_of_makran0":"Мекранський загін"
" mercenary_company_company_of_makran_article0":"the "
" mercenary_company_company_of_many_colours0":"Багатоколірний загін"
" mercenary_company_company_of_many_colours_article0":"the "
" mercenary_company_company_of_meroe0":"Загін з Мерое"
" mercenary_company_company_of_meroe_article0":"the "
" mercenary_company_company_of_odisha0":"Загін з Одіши"
" mercenary_company_company_of_odisha_article0":"the "
" mercenary_company_company_of_oleg0":"Загін учнів Олега"
" mercenary_company_company_of_oleg_article0":"the "
" mercenary_company_company_of_rus0":"Загін русинів"
" mercenary_company_company_of_rus_article0":"the "
" mercenary_company_company_of_sea_crossers0":"Загін мореплавців"
" mercenary_company_company_of_sea_crossers_article0":"the "
" mercenary_company_company_of_shahids0":"Загін шахідів"
" mercenary_company_company_of_shahids_article0":"the "
" mercenary_company_company_of_shield_and_scian0":"Загін Щита і кинджала"
" mercenary_company_company_of_shield_and_scian_article0":"the "
" mercenary_company_company_of_sogdiana0":"Согдійський загін"
" mercenary_company_company_of_sogdiana_article0":"the "
" mercenary_company_company_of_the_cannibal0":"Загін канібалів"
" mercenary_company_company_of_the_cannibal_article0":"the "
" mercenary_company_company_of_the_cruel_hand0":"Загін Жорстокої руки"
" mercenary_company_company_of_the_cruel_hand_article0":"the "
" mercenary_company_company_of_the_dead_men0":"Загін мерців"
" mercenary_company_company_of_the_dead_men_article0":"the "
" mercenary_company_company_of_the_deeplands0":"Загін з Глибинних земель"
" mercenary_company_company_of_the_deeplands_article0":"the "
" mercenary_company_company_of_the_delta0":"Загін з Дельти"
" mercenary_company_company_of_the_delta_article0":"the "
" mercenary_company_company_of_the_dog0":"Собачий загін"
" mercenary_company_company_of_the_dog_article0":"the "
" mercenary_company_company_of_the_exile0":"Загін вигнанців"
" mercenary_company_company_of_the_exile_article0":"the "
" mercenary_company_company_of_the_gambia0":"Загін з Гамбри"
" mercenary_company_company_of_the_gambia_article0":"the "
" mercenary_company_company_of_the_ganges0":"Гангський загін"
" mercenary_company_company_of_the_ganges_article0":"the "
" mercenary_company_company_of_the_ghats0":"Загін Капелюха"
" mercenary_company_company_of_the_ghats_article0":"the "
" mercenary_company_company_of_the_goad0":"Загін підбурювачів"
" mercenary_company_company_of_the_goad_article0":"the "
" mercenary_company_company_of_the_great_rann0":"Загін з Великого Ранна"
" mercenary_company_company_of_the_great_rann_article0":"the "
" mercenary_company_company_of_the_kings_son0":"Загін королівського сина"
" mercenary_company_company_of_the_kings_son_article0":"the "
" mercenary_company_company_of_the_koyil0":"Загін Койїл"
" mercenary_company_company_of_the_koyil_article0":"the "
" mercenary_company_company_of_the_leopard0":"Загін Леопардів"
" mercenary_company_company_of_the_leopard_article0":"the "
" mercenary_company_company_of_the_oasis0":"Загін Оазису"
" mercenary_company_company_of_the_oasis_article0":"the "
" mercenary_company_company_of_the_punjab0":"Пенджабський загін"
" mercenary_company_company_of_the_punjab_article0":"the "
" mercenary_company_company_of_the_saint0":"Загін Святого"
" mercenary_company_company_of_the_saint_article0":"the "
" mercenary_company_company_of_the_skull_cup0":"Загін Чаші з черепа"
" mercenary_company_company_of_the_skull_cup_article0":"the "
" mercenary_company_company_of_the_staff0":"Загін Палиці"
" mercenary_company_company_of_the_staff_article0":"the "
" mercenary_company_company_of_the_stalo0":"Загін Стало"
" mercenary_company_company_of_the_stalo_article0":"the "
" mercenary_company_company_of_the_stone_anchor0":"Загін кам'яного якоря"
" mercenary_company_company_of_the_stone_anchor_article0":"the "
" mercenary_company_company_of_the_stout_horse0":"Загін «Міцні коні»"
" mercenary_company_company_of_the_stout_horse_article0":"the "
" mercenary_company_company_of_the_tiger0":"Загін тигра"
" mercenary_company_company_of_the_tiger_article0":"the "
" mercenary_company_company_of_the_yurt0":"Юртовий загін"
" mercenary_company_company_of_the_yurt_article0":"the "
" mercenary_company_counts_exiles0":"Загін «Придворні вигнанці»"
" mercenary_company_counts_exiles_article0":"the "
" mercenary_company_daylamite_company0":"Дейлемітський загін"
" mercenary_company_daylamite_company_article0":"the "
" mercenary_company_default0":"[CULTURE.GetNameNoTooltip]ий загін [TITLE.GetNameNoTierNoTooltip]"
" mercenary_company_desert_brethren0":"Пустельне братерство"
" mercenary_company_desert_brethren_article0":"the "
" mercenary_company_dreamers_of_the_jog0":"Йоги-сновидці"
" mercenary_company_dreamers_of_the_jog_article0":"the "
" mercenary_company_druzynan_host0":"Дружина"
" mercenary_company_druzynan_host_article0":"the "
" mercenary_company_finnish_band0":"Фінський загін"
" mercenary_company_finnish_band_article0":"the "
" mercenary_company_flemish_band0":"Фламандський загін"
" mercenary_company_flemish_band_article0":"the "
" mercenary_company_followers_of_sundiata0":"Послідовники Сундіати"
" mercenary_company_followers_of_sundiata_article0":"the "
" mercenary_company_followers_of_the_priest_king0":"Учні Короля-жерця"
" mercenary_company_followers_of_the_priest_king_article0":"the "
" mercenary_company_free_company_of_the_pospolite0":"Посполиті найманці"
" mercenary_company_free_company_of_the_pospolite_article0":"the "
" mercenary_company_freelances_of_brandys0":"Ландскнехти з Брандиса"
" mercenary_company_freelances_of_brandys_article0":"the "
" mercenary_company_french0":"Загін Півнів"
" mercenary_company_french_article0":"the "
