"l_english:"."".""."".""
"#Feudal Elective AI behavior"."".""."".""
" tooltip_feudal_elector_vote_myself0: ""I like power: $VALUE|=+0$"""."".""."".""
" tooltip_feudal_elector_vote_not_myself0: ""I do not like power: $VALUE|=+0$"""."".""."".""
" tooltip_feudal_elector_vote_myself_heir0: ""I am the rightful heir: $VALUE|=+0$"""."".""."".""
" tooltip_feudal_elector_vote_myself_ambitious0: ""I am ambitious: $VALUE|=+0$"""."".""."".""
" tooltip_feudal_elector_vote_myself_ruler_choice0: ""I have been chosen: $VALUE|=+0$"""."".""."".""
" tooltip_feudal_elector_vote_myself_ruling_dynasty0: ""I belong to the ruling [dynasty|E]: $VALUE|=+0$"""."".""."".""
" tooltip_feudal_elector_vote_myself_sick0: ""I am not in any condition to rule: $VALUE|=+0$"""."".""."".""
" tooltip_feudal_elector_vote_myself_claimant0: ""I am a claimant: $VALUE|=+0$"""."".""."".""
" tooltip_feudal_holder_elector_vote_player_heir0: ""[candidate"."GetSheHe|U] is the rightful heir: $VALUE|=+0$""".""."".""
" tooltip_feudal_holder_elector_vote_not_child0: ""[candidate"."GetSheHe|U] is not my child: $VALUE|=+0$""".""."".""
" tooltip_feudal_holder_elector_vote_infertile0: ""[candidate"."GetSheHe|U] is unlikely to produce children""".""."".""
" tooltip_feudal_elector_vote_agnatic_woman0: ""[candidate"."GetSheHe|U] is a woman: $VALUE|=+0$""".""."".""
" tooltip_feudal_elector_vote_enatic_man0: ""[candidate"."GetSheHe|U] is a man: $VALUE|=+0$""".""."".""
" tooltip_feudal_elector_vote_baby0: ""[candidate"."GetSheHe|U] is just a baby: $VALUE|=+0$""".""."".""
" tooltip_feudal_elector_vote_child0: ""[candidate"."GetSheHe|U] is only a child: $VALUE|=+0$""".""."".""
" tooltip_feudal_elector_vote_youngster0: ""[candidate"."GetSheHe|U] is too young: $VALUE|=+0$""".""."".""
" tooltip_feudal_elector_vote_oldtimer0: ""[candidate"."GetSheHe|U] is past [candidate"."GetHerHis] prime: $VALUE|=+0$"""."".""
" tooltip_feudal_elector_vote_decrepit0: ""[candidate"."GetSheHe|U] is too old: $VALUE|=+0$""".""."".""
" tooltip_feudal_elector_vote_fellow_culture0: ""[candidate"."GetSheHe|U] belongs to my [culture|E]: $VALUE|=+0$""".""."".""
" tooltip_feudal_elector_vote_stranger0: ""[candidate"."GetSheHe|U] is a stranger to my customs: $VALUE|=+0$""".""."".""
" tooltip_feudal_elector_vote_foreigner0: ""[candidate"."GetSheHe|U] is a foreigner: $VALUE|=+0$""".""."".""
" tooltip_feudal_elector_vote_strangers_pet0: ""[candidate"."GetSheHe|U] is a foreigner's pet: $VALUE|=+0$""".""."".""
" tooltip_feudal_elector_vote_foreigners_pet0: ""[candidate"."GetSheHe|U] is a foreigner's puppet: $VALUE|=+0$""".""."".""
" tooltip_feudal_elector_vote_political_concerns0: ""If elected, [candidate"."GetSheHe] might rule from abroad: $VALUE|=+0$""".""."".""
" tooltip_feudal_elector_vote_encroaching_foreigner0: ""[candidate"."GetSheHe|U] is an encroaching foreigner ruler: $VALUE|=+0$""".""."".""
" tooltip_feudal_elector_vote_different_faith0: ""[candidate"."GetSheHe|U] follows a different [faith|E]: $VALUE|=+0$""".""."".""
" tooltip_feudal_elector_vote_astray0: ""[candidate"."GetHerHis|U] [faith|E] is astray: $VALUE|=+0$""".""."".""
" tooltip_feudal_elector_vote_heretic0: ""[candidate"."GetSheHe|U] is a vile heretic: $VALUE|=+0$""".""."".""
" tooltip_feudal_elector_vote_evil_heathen0: ""[candidate"."GetSheHe|U] is a filthy heathen: $VALUE|=+0$""".""."".""
" tooltip_feudal_elector_vote_uncivilized0: ""[candidate"."GetSheHe|U] is an uncivilized barbarian: $VALUE|=+0$""".""."".""
" tooltip_feudal_elector_vote_settled0: ""[candidate"."GetSheHe|U] is a lazy settler: $VALUE|=+0$""".""."".""
" tooltip_feudal_elector_vote_dynasty0: ""[candidate"."GetSheHe|U] belongs to my [dynasty|E]: $VALUE|=+0$""".""."".""
" tooltip_feudal_elector_vote_relative0: ""[candidate"."GetSheHe|U] belongs to my family: $VALUE|=+0$""".""."".""
" tooltip_feudal_elector_vote_parent0: ""[candidate"."GetSheHe|U] is my own child: $VALUE|=+0$""".""."".""
" tooltip_feudal_elector_vote_distant_relative0: ""[candidate"."GetSheHe|U] is from an obscure dynastic branch: $VALUE|=+0$""".""."".""
" tooltip_feudal_elector_vote_martial_education0: ""[candidate"."GetSheHe|U] is a soldier: $VALUE|=+0$""".""."".""
