"l_english":""
" AI_PERSONALITY_ADJECTIVE_NOUN0":"$ADJECTIVE$ $NOUN$"
" AI_PERSONALITY_NEUTRAL0":"Збалансована"
" AI_PERSONALITY_TOOLTIP0":"#T Особистість\n#!Особистість персонажа впливає на прийняті рішення. Головним чином її визначають [traits|El].\n\nВ персонажів під управлінням гравців немає особистості, оскільки їхньою поведінкою керують гравці."
" AI_PERSONALITY_IS_PLAYER_TOOLTIP0":"#T Особистість\n#!Цим персонажем керує інший гравець."
" honor_noun0":"[Select_CString( CHARACTER.IsFemale, 'Благородна пані', 'Благородний пан' )]"
" honor_adj0":"[Select_CString( CHARACTER.IsFemale, 'Благородна', 'Благородний' )]"
" honor_neg_noun0":"[Select_CString( CHARACTER.IsFemale, 'Негідниця', 'Негідник' )]"
" honor_neg_adj0":"[Select_CString( CHARACTER.IsFemale, 'Ганебна', 'Ганебний' )]"
" honor_strong_noun0":"[Select_CString( CHARACTER.IsFemale, 'Розумниця', 'Ідеал' )]"
" honor_strong_adj0":"[Select_CString( CHARACTER.IsFemale, 'Добродійна', 'Добродійний' )]"
" honor_strong_neg_noun0":"[Select_CString( CHARACTER.IsFemale, 'Мерзотниця', 'Мерзотник' )]"
" honor_strong_neg_adj0":"[Select_CString( CHARACTER.IsFemale, 'Віроломна', 'Віроломний' )]"
" greed_noun0":"[Select_CString( CHARACTER.IsFemale, 'Злодійка', 'Злодій' )]"
" greed_adj0":"[Select_CString( CHARACTER.IsFemale, 'Жадібна', 'Жадібний' )]"
" greed_neg_noun0":"[Select_CString( CHARACTER.IsFemale, 'Підлиза', 'Хробак' )]"
" greed_neg_adj0":"[Select_CString( CHARACTER.IsFemale, 'Тиха', 'Тихий' )]"
" greed_strong_noun0":"[Select_CString( CHARACTER.IsFemale, 'Стерв'ятниця', 'Стерв'ятник' )]"
" greed_strong_adj0":"[Select_CString( CHARACTER.IsFemale, 'Ненаситна', 'Ненаситний' )]"
" greed_strong_neg_noun0":"[Select_CString( CHARACTER.IsFemale, 'Гадюка', 'Підлабузник' )]"
" greed_strong_neg_adj0":"[Select_CString( CHARACTER.IsFemale, 'Невибаглива', 'Невибагливий' )]"
" rationality_noun0":"[Select_CString( CHARACTER.IsFemale, 'Мислителька', 'Мислитель' )]"
" rationality_adj0":"[Select_CString( CHARACTER.IsFemale, 'Мудра', 'Мудрий' )]"
" rationality_neg_noun0":"[Select_CString( CHARACTER.IsFemale, 'Дурепа', 'Дурень' )]"
" rationality_neg_adj0":"[Select_CString( CHARACTER.IsFemale, 'Нерозумна', 'Нерозумний' )]"
" rationality_strong_noun0":"[Select_CString( CHARACTER.IsFemale, 'Передбачлива', 'Передбачливий' )]"
" rationality_strong_adj0":"[Select_CString( CHARACTER.IsFemale, 'Розсудлива', 'Розсудливий' )]"
" rationality_strong_neg_noun0":"[Select_CString( CHARACTER.IsFemale, 'Маніячка', 'Маніяк' )]"
" rationality_strong_neg_adj0":"[Select_CString( CHARACTER.IsFemale, 'Божевільна', 'Божевільний' )]"
" boldness_noun0":"[Select_CString( CHARACTER.IsFemale, 'Ризикова', 'Ризиковий' )]"
" boldness_adj0":"[Select_CString( CHARACTER.IsFemale, 'Хоробра', 'Хоробрий' )]"
" boldness_neg_noun0":"[Select_CString( CHARACTER.IsFemale, 'Боягузка', 'Боягуз' )]"
" boldness_neg_adj0":"[Select_CString( CHARACTER.IsFemale, 'Боягузлива', 'Боягузливий' )]"
" boldness_strong_noun0":"[Select_CString( CHARACTER.IsFemale, 'Авантюристка', 'Авантюрист' )]"
" boldness_strong_adj0":"[Select_CString( CHARACTER.IsFemale, 'Безстрашна', 'Безстрашний' )]"
" boldness_strong_neg_noun0":"[Select_CString( CHARACTER.IsFemale, 'Боязка', 'Боязкий' )]"
" boldness_strong_neg_adj0":"[Select_CString( CHARACTER.IsFemale, 'Безхребетна', 'Безхребетний' )]"
" zeal_noun0":"[Select_CString( CHARACTER.IsFemale, 'Побожна', 'Побожний' )]"
" zeal_adj0":"[Select_CString( CHARACTER.IsFemale, 'Благочестива', 'Благочестивий' )]"
" zeal_neg_noun0":"[Select_CString( CHARACTER.IsFemale, 'Безбожна', 'Безбожний' )]"
" zeal_neg_adj0":"[Select_CString( CHARACTER.IsFemale, 'Цинічна', 'Цинічний' )]"
" zeal_strong_noun0":"[Select_CString( CHARACTER.IsFemale, 'Ревнивиця', 'Ревнивець' )]"
" zeal_strong_adj0":"[Select_CString( CHARACTER.IsFemale, 'Фанатична', 'Фанатичний' )]"
" zeal_strong_neg_noun0":"[Select_CString( CHARACTER.IsFemale, 'Безбожниця', 'Безбожник' )]"
" zeal_strong_neg_adj0":"[Select_CString( CHARACTER.IsFemale, 'Безбожна', 'Безбожний' )]"
" vengefulness_noun0":"[Select_CString( CHARACTER.IsFemale, 'Баламутка', 'Баламут' )]"
" vengefulness_adj0":"[Select_CString( CHARACTER.IsFemale, 'Злопам'ятна', 'Злопам'ятний' )]"
" vengefulness_neg_noun0":"[Select_CString( CHARACTER.IsFemale, 'Примирителька', 'Примиритель' )]"
" vengefulness_neg_adj0":"[Select_CString( CHARACTER.IsFemale, 'Незлоблива', 'Незлобливий' )]"
" vengefulness_strong_noun0":"[Select_CString( CHARACTER.IsFemale, 'Злодійка', 'Злодій' )]"
" vengefulness_strong_adj0":"[Select_CString( CHARACTER.IsFemale, 'Мстива', 'Мстивий' )]"
" vengefulness_strong_neg_noun0":"[Select_CString( CHARACTER.IsFemale, 'Виправдовувачка', 'Виправдовувач' )]"
" vengefulness_strong_neg_adj0":"[Select_CString( CHARACTER.IsFemale, 'Великодушна', 'Великодушний' )]"
" compassion_noun0":"[Select_CString( CHARACTER.IsFemale, 'Безкорисна', 'Безкорисний' )]"
" compassion_adj0":"[Select_CString( CHARACTER.IsFemale, 'Співчутлива', 'Співчутливий' )]"
" compassion_neg_noun0":"[Select_CString( CHARACTER.IsFemale, 'Мерзотниця', 'Мерзотник' )]"
" compassion_neg_adj0":"[Select_CString( CHARACTER.IsFemale, 'Бездушна', 'Бездушний' )]"
" compassion_strong_noun0":"[Select_CString( CHARACTER.IsFemale, 'Співчутлива', 'Співчутливий' )]"
" compassion_strong_adj0":"[Select_CString( CHARACTER.IsFemale, 'Милостива', 'Милостивий' )]"
" compassion_strong_neg_noun0":"[Select_CString( CHARACTER.IsFemale, 'Моторошна', 'Моторошний' )]"
" compassion_strong_neg_adj0":"[Select_CString( CHARACTER.IsFemale, 'Зла', 'Злий' )]"
