"l_english:","","","","",""
" #Yazidi","","","","",""
" yazidi_religion0: ""Miletê Tawûsê Melek""","","","","",""
" yazidi_religion_adj0: ""Miletê""","","","","",""
" yazidi_religion_adherent0: ""Miletê""","","","","",""
" yazidi_religion_adherent_plural0: ""Miletês""","","","","",""
" yazidi_religion_desc0: ""The eternal god created the universe and his seven angels. First among them is Melek Taus"," whom god gave stewardship of the world.""","","","",""
"","","","","",""
" yazidi0: ""Yazidism""","","","","",""
" yazidi_adj0: ""Yazidi""","","","","",""
" yazidi_adherent0: ""Yazidi""","","","","",""
" yazidi_adherent_plural0: ""Yazidi""","","","","",""
" yazidi_desc0: ""The Yazidi believe that God created the world and placed it under the protection of seven angels"," foremost among them Tawûsê Melek"," the Peacock Angel. The Peacock Angel at first fell from God's grace"," but his tears of remorse extinguished the fires of his prison"," and he was reunited with God. In the same manner"," we all seek to reunite with God at the end of many long lifetimes."""
" yazidi_high_god_name0: ""Melek Taus""","","","","",""
" yazidi_high_god_name_20: ""$yazidi_high_god_name$"" # Optional translation alt","","","","",""
" yazidi_high_god_name_possessive0: ""Melek Taus'""","","","","",""
" yazidi_high_god_name_alternate0: ""Light of God""","","","","",""
" yazidi_high_god_name_alternate_possessive0: ""Light of God's""","","","","",""
" yazidi_good_god_peacock_angel0: ""The Peackock Angel""","","","","",""
" yazidi_good_god_tawuse_melek0: ""Tawûsê Melek""","","","","",""
" yazidi_good_god_seven_mysteries0: ""The Seven Mysteries""","","","","",""
" yazidi_good_god_azazil0: ""Azaz'il""","","","","",""
" yazidi_good_god_azazil_possessive0: ""Azaz'il's""","","","","",""
" yazidi_good_god_jabrail0: ""Jabra'il""","","","","",""
" yazidi_good_god_mikhail0: ""Mikha'il""","","","","",""
" yazidi_good_god_mikhail_possessive0: ""Mikha'il's""","","","","",""
" yazidi_good_god_rafail0: ""Rafa'il""","","","","",""
" yazidi_good_god_dadrail0: ""Dadra'il""","","","","",""
" yazidi_good_god_dadrail_possessive0: ""Dadra'il's""","","","","",""
" yazidi_good_god_azrafil0: ""Azraf'il""","","","","",""
" yazidi_good_god_azrafil_possessive0: ""Azraf'il's""","","","","",""
" yazidi_good_god_shemnail0: ""Shemna'il""","","","","",""
" yazidi_good_god_shemnail_possessive0: ""Shemna'il's""","","","","",""
" yazidi_creator_god_name0: ""Xwedê""","","","","",""
" yazidi_creator_god_name_possessive0: ""Xwedê's""","","","","",""
" yazidi_house_of_worship0: ""temple""","","","","",""
" yazidi_house_of_worship_20: ""$yazidi_house_of_worship$"" # Optional translation alt","","","","",""
" yazidi_house_of_worship_30: ""$yazidi_house_of_worship$"" # Optional translation alt","","","","",""
" yazidi_house_of_worship_plural0: ""temples""","","","","",""
" yazidi_religious_symbol0: ""sinjaq""","","","","",""
" yazidi_religious_symbol_20: ""$yazidi_religious_symbol$"" # Optional translation alt","","","","",""
" yazidi_religious_symbol_30: ""$yazidi_religious_symbol$"" # Optional translation alt","","","","",""
" yazidi_religious_text0: ""qawls""","","","","",""
" yazidi_religious_text_20: ""$yazidi_religious_text$"" # Optional translation alt","","","","",""
" yazidi_religious_text_30: ""$yazidi_religious_text$"" # Optional translation alt","","","","",""
" yazidi_religious_head_title0: ""mîr""","","","","",""
" yazidi_religious_head_title_name0: ""mîrate""","","","","",""
" yazidi_devotee0: ""Kochek""","","","","",""
" yazidi_devotee_plural0: ""Kocheks""","","","","",""
" yazidi_priest0: ""sheikh""","","","","",""
" yazidi_priest_plural0: ""sheikhs""","","","","",""
" yazidi_priest_alternate_plural0: ""clergy""","","","","",""
