"l_english:","","",""
" #Qiangic","","",""
" qiangic_religion0: ""Hsexje"" #lit. Worship of the Gods","","",""
" qiangic_religion_adj0: ""Hsexje""","","",""
" qiangic_religion_adherent0: ""Hsexjemi""","","",""
" qiangic_religion_adherent_plural0: ""Hsexjem""","","",""
" qiangic_religion_desc0: ""The folk religions of the Qiangic tribes focus on the worship of the Gods of nature and their ancestors"," as well as the veneration of white flint stones which are said to possess spirits of nature.""","",""
" ","","",""
" qiangic_high_god_name0: ""Mubyasei""","","",""
" qiangic_high_god_name_20: ""$qiangic_high_god_name$"" # Optional translation alt","","",""
" qiangic_high_god_name_possessive0: ""Mubyasei's""","","",""
" qiangic_high_god_shehe0: ""He""","","",""
" qiangic_high_god_herselfhimself0: ""Himself""","","",""
" qiangic_high_god_herhis0: ""His""","","",""
" qiangic_high_god_name_alternate0: ""Abba Chi""","","",""
" qiangic_high_god_name_alternate_possessive0: ""Abba Chi's""","","",""
" qiangic_good_god_mubyasei0: ""Mubyasei""","","",""
" qiangic_good_god_abba_chi0: ""Abba Chi""","","",""
" qiangic_good_god_abba_sei0: ""Abba Sei""","","",""
" qiangic_good_god_abba_mullah0: ""Abba Mullah""","","",""
" qiangic_good_god_mutsitsu0: ""Mutsitshu""","","",""
" qiangic_good_god_tugantsu0: ""Tugantshu""","","",""
" qiangic_good_god_mupitha0: ""Mupitha""","","",""
" qiangic_devil_name0: ""Dul""","","",""
" qiangic_devil_name_possessive0: ""Dul's""","","",""
" qiangic_devil_shehe0: ""he""","","",""
" qiangic_devil_herselfhimself0: ""himself""","","",""
" qiangic_evil_god_dul0: ""Dul""","","",""
" qiangic_evil_god_dul_possessive0: ""Dul's""","","",""
" qiangic_house_of_worship0: ""hseji""","","",""
" qiangic_house_of_worship_20: ""$qiangic_house_of_worship$"" # Optional translation alt","","",""
" qiangic_house_of_worship_30: ""$qiangic_house_of_worship$"" # Optional translation alt","","",""
" qiangic_house_of_worship_plural0: ""hseji""","","",""
" qiangic_religious_symbol0: ""Vvluphi"" # white flint stone","","",""
" qiangic_religious_symbol_20: ""$qiangic_religious_symbol$"" # Optional translation alt","","",""
" qiangic_religious_symbol_30: ""$qiangic_religious_symbol$"" # Optional translation alt","","",""
" qiangic_religious_text0: ""Shgubu-mealea"" #religious stories orally passed down by priests","","",""
" qiangic_religious_text_20: ""$qiangic_religious_text$"" # Optional translation alt","","",""
" qiangic_religious_text_30: ""$qiangic_religious_text$"" # Optional translation alt","","",""
" qiangic_religious_head_title0: ""Bbaxbi""","","",""
" qiangic_religious_head_title_name0: ""Bbaxbiate""","","",""
" qiangic_devotee_male0: ""xjemi""","","",""
" qiangic_devotee_male_plural0: ""xjem""","","",""
