"l_english:",""
" #PartnerOpinionDescription",""
" partner_opinion_high0: ""[ROOT.Char.Custom2('PartnerOpinionHighDescription'"," SCOPE.sC('second') )]"""
" partner_opinion_low0: ""[ROOT.Char.Custom2('PartnerOpinionLowDescription'"," SCOPE.sC('second') )]"""
" #PartnerOpinionHighDescription",""
" partner_opinion_desc_darling0: ""darling""",""
" partner_opinion_desc_precious0: ""precious""",""
" partner_opinion_desc_sweet0: ""sweet""",""
" partner_opinion_desc_lovely0: ""lovely""",""
" #PartnerOpinionLowDescription",""
" partner_opinion_desc_esteemed0: ""esteemed""",""
" partner_opinion_desc_imposing0: ""imposing""",""
" partner_opinion_desc_respectable0: ""respectable""",""
" #RandomJewellry",""
" random_jewellry_torc0: ""torc""",""
" random_jewellry_pendant0: ""pendant""",""
" random_jewellry_ring0: ""ring""",""
" random_jewellry_medallion0: ""medallion""",""
" random_jewellry_bracelet0: ""bracelet""",""
" random_jewellry_bangle0: ""bangle""",""
" random_jewellry_brooch0: ""brooch""",""
" #RandomPositiveLookAdjective",""
" random_positive_look_magnificent0: ""magnificent""",""
" random_positive_look_stupendous0: ""stupendous""",""
" random_positive_look_marvelous0: ""marvelous""",""
" random_positive_look_exquisite0: ""exquisite""",""
" random_positive_look_delightful0: ""delightful""",""
" random_positive_look_terrific0: ""terrific""",""
" random_positive_look_splendid0: ""splendid""",""
" random_positive_look_stunning0: ""stunning""",""
" random_positive_look_enchanting0: ""enchanting""",""
" random_positive_look_wonderful0: ""wonderful""",""
"",""
" murder_memory_ending_revenge0: ""revenge at last!""",""
" murder_memory_ending_justice0: ""justice comes for all.""",""
" murder_memory_ending_sleep0: ""I can sleep easily now.""",""
" murder_memory_ending_sow0: ""reap what you sow"," кретин!"""
