"l_english:"	""
" #TODO"	""
" #REMOVE CULTURES THAT ARE EXCLUSIVE TO 769"	""
" #Altaic group"	"##SPLIT intO MONGOLIC & TURKIC"
" #altaic_group0: ""Altaic"""	""
" #altaic_group_collective_noun0: ""Altaics"""	""
" #turkish0: ""Turkish"""	""
" #turkish_collective_noun0: ""Turks"""	""
" #pecheneg0: ""Pecheneg"""	""
" #pecheneg_collective_noun0: ""Pechenegs"""	""
" #cuman0: ""Cuman"""	""
" #cuman_collective_noun0: ""Cumans"""	""
" #khazar0: ""Khazar"""	""
" #khazar_collective_noun0: ""Khazars"""	""
" #bolghar0: ""Bolghar"""	""
" #bolghar_collective_noun0: ""Bolghars"""	""
" #bashkir0: ""Bashkir"""	""
" #bashkir_collective_noun0: ""Bashkirs"""	""
" #avar0: ""Avar"""	""
" #avar_collective_noun0: ""Avars"""	""
" #karluk0: ""Karluk"""	""
" #karluk_collective_noun0: ""Karluks"""	""
" #kimek0: ""Kimek"""	""
" #kimek_collective_noun0: ""Kimeks"""	""
" #kipchak0: ""Kipchak"""	""
" #kipchak_collective_noun0: ""Kipchaks"""	""
" #laktan0: ""Laktan"""	""
" #laktan_collective_noun0: ""Laktans"""	""
" #kirghiz0: ""Kirghiz"""	""
" #kirghiz_collective_noun0: ""Kirghiz"""	""
" #uyghur0: ""Uyghur"""	""
" #uyghur_collective_noun0: ""Uyghurs"""	""
" #mongol0: ""Mongol"""	""
" #mongol_collective_noun0: ""Mongols"""	""
" #khitan0: ""Khitan"""	""
" #khitan_collective_noun0: ""Khitans"""	""
" #jurchen0: ""Jurchen"""	""
" #jurchen_collective_noun0: ""Jurchens"""	""
" #Arabic group"	""
" arabic_group0: ""Arabic"""	""
" arabic_group_collective_noun0: ""Arabs"""	""
" bedouin0: ""Bedouin"""	""
" bedouin_prefix0: ""Bedouin"""	""
" bedouin_collective_noun0: ""Bedouins"""	""
" berber0: ""Berber"""	""
" berber_prefix0: ""Berbero"""	""
" berber_collective_noun0: ""Berbers"""	""
" levantine0: ""Mashriqi"""	""
" levantine_prefix0: ""Mashriqi"""	""
" levantine_collective_noun0: ""Mashriqis"""	""
" egyptian0: ""Egyptian"""	""
" egyptian_prefix0: ""Egypto"""	""
" egyptian_collective_noun0: ""Egyptians"""	""
" andalusian0: ""Andalusian"""	""
" andalusian_prefix0: ""Andaluso"""	""
" andalusian_collective_noun0: ""Andalusians"""	""
" yemeni0: ""Yemeni"""	""
" yemeni_prefix0: ""Yemeno"""	""
" yemeni_collective_noun0: ""Yemenis"""	""
" #Berber group"	""
" berber_group0: ""Berber"""	""
" berber_group_collective_noun0: ""Berbers"""	""
" baranis0: ""Baranis"""	""
" baranis_prefix0: ""Barani"""	""
" baranis_collective_noun0: ""Baranis"""	""
" butr0: ""Butr"""	""
" butr_prefix0: ""Butr"""	""
" butr_collective_noun0: ""Butrs"""	""
" guanches0: ""Guanche"""	""
" guanches_prefix0: ""Guanche"""	""
" guanches_collective_noun0: ""Guanches"""	""
" zaghawa0: ""Zaghawa"""	""
" zaghawa_prefix0: ""Zaghawo"""	""
" zaghawa_collective_noun0: ""Zaghawas"""	""
" #Byzantine group"	""
" byzantine_group0: ""Byzantine"""	""
" byzantine_group_collective_noun0: ""Byzantines"""	""
" armenian0: ""Armenian"""	""
" armenian_prefix0: ""Armeno"""	""
" armenian_collective_noun0: ""Armenians"""	""
" greek0: ""Greek"""	""
" greek_prefix0: ""Greco"""	""
" greek_collective_noun0: ""Greeks"""	""
" alan0: ""Alan"""	""
" alan_prefix0: ""Alano"""	""
" alan_collective_noun0: ""Alans"""	""
" georgian0: ""Georgian"""	""
" georgian_prefix0: ""Georgio"""	""
" georgian_collective_noun0: ""Georgians"""	""
" assyrian0: ""Syriac"""	""
" assyrian_prefix0: ""Syro"""	""
" assyrian_collective_noun0: ""Syriacs"""	""
" #Baltic group"	""
" baltic_group0: ""Baltic"""	""
" baltic_group_collective_noun0: ""Baltics"""	""
" latgalian0: ""Latgalian"""	""
" latgalian_prefix0: ""Latgalo"""	""
" latgalian_collective_noun0: ""Latgalians"""	""
" lithuanian0: ""Lithuanian"""	""
" lithuanian_prefix0: ""Lithuano"""	""
" lithuanian_collective_noun0: ""Lithuanians"""	""
" prussian0: ""Prussian"""	""
" prussian_prefix0: ""Prusso"""	""
" prussian_collective_noun0: ""Prussians"""	""
" #Balto-Finnic group"	""
" balto_finnic_group0: ""Balto-Finnic"""	""
" balto_finnic_group_collective_noun0: ""Balto-Finnics"""	""
" finnish0: ""Finnish"""	""
" finnish_prefix0: ""Finno"""	""
" finnish_collective_noun0: ""Finns"""	""
" sami0: ""Sami"""	""
" sami_prefix0: ""Sami"""	""
" sami_collective_noun0: ""Sami"""	""
" estonian0: ""Estonian"""	""
" estonian_prefix0: ""Esto"""	""
" estonian_collective_noun0: ""Estonians"""	""
" karelian0: ""Karelian"""	""
" karelian_prefix0: ""Karelo"""	""
" karelian_collective_noun0: ""Karelians"""	""
" vepsian0: ""Vepsian"""	""
" vepsian_prefix0: ""Vepso"""	""
